artist,song,duration_s,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,numero_genero,hit
Nelly,Grillz,271.16,False,2005,60,0.867,0.504,4,-7.737,0,0.241,0.0358,0.0,0.307,0.84,82.996,"hip hop, pop, R&B",4,1
Take That,Patience,202.066,False,2006,64,0.309,0.783,10,-4.154,1,0.0405,0.142,1.11e-06,0.118,0.372,175.788,pop,0,1
Fergie,London Bridge,241.306,True,2006,57,0.769,0.609,1,-5.894,1,0.357,0.216,0.0,0.166,0.633,90.951,"pop, R&B",7,1
LL Cool J,Control Myself,233.973,False,2006,42,0.825,0.876,10,-6.556,0,0.211,0.00928,1.2e-05,0.205,0.48,120.066,"hip hop, pop, R&B",4,0
Beyoncé,Deja Vu (feat. Jay-Z),240.28,False,2007,57,0.644,0.746,7,-4.941,1,0.341,0.0071,1.22e-05,0.0743,0.355,105.253,"pop, R&B",7,1
Eminem,When I'm Gone,281.32,True,2005,68,0.618,0.746,10,-5.476,0,0.352,0.0553,0.0,0.273,0.75,75.272,hip hop,5,1
Kelis,Bossy,273.973,False,2006,50,0.906,0.633,4,-5.316,1,0.19,0.000182,8.34e-06,0.058,0.779,84.021,"pop, R&B, Dance/Electronic",35,0
Bob Sinclar,Love Generation - Radio Edit,207.613,False,2005,49,0.715,0.812,1,-5.758,1,0.062,0.175,0.000134,0.044,0.554,128.04,"pop, Dance/Electronic",9,0
Meck,Thunder in My Heart Again (Radio Edit),189.8,False,2005,46,0.679,0.922,2,-4.67,0,0.0294,0.000241,0.69,0.0697,0.806,129.016,set(),23,0
Mary J. Blige,Be Without You - Kendu Mix,246.333,True,2005,69,0.726,0.7,2,-5.881,0,0.0998,0.0717,0.0,0.262,0.673,146.559,"pop, R&B",7,1
Girls Aloud,Something Kinda Ooooh,201.59,False,2012,49,0.681,0.908,11,-3.918,0,0.0473,0.0232,0.0,0.355,0.879,131.925,"pop, Dance/Electronic",9,0
Rihanna,Unfaithful,226.973,False,2006,70,0.588,0.391,0,-8.607,0,0.0334,0.839,0.0,0.227,0.349,144.069,"hip hop, pop, R&B",4,1
Kanye West,Touch The Sky,236.6,True,2005,73,0.552,0.846,9,-4.912,1,0.342,0.0114,0.0,0.309,0.554,98.56,hip hop,5,1
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",229.813,True,2006,60,0.886,0.62,5,-5.854,1,0.307,0.082,0.0,0.1,0.6,76.035,"hip hop, pop",12,1
Evanescence,Call Me When You're Sober,214.706,False,2006,65,0.45,0.883,7,-4.094,1,0.0524,0.00193,0.0,0.293,0.328,93.41,metal,11,1
Chingy,Pullin' Me Back,234.133,True,2006,62,0.786,0.511,7,-6.66,1,0.286,0.0825,0.0,0.12,0.587,80.0,"hip hop, pop, R&B",4,1
Nickelback,Far Away,238.173,False,2005,70,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,"rock, metal",3,1
Fall Out Boy,"Dance, Dance",180.266,False,2005,74,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452,rock,17,1
Leona Lewis,A Moment Like This,257.293,False,2007,57,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54e-06,0.131,0.167,70.543,"pop, R&B",7,1
T.I.,What You Know,274.333,True,2006,64,0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464,"hip hop, pop",12,1
Ludacris,Money Maker,230.613,True,2006,62,0.551,0.598,1,-6.79,1,0.27,0.15,0.0,0.299,0.612,78.756,"hip hop, pop",12,1
Nick Lachey,What's Left Of Me,244.613,False,2006,37,0.42,0.742,7,-5.665,1,0.0375,0.142,0.0,0.145,0.294,149.965,pop,0,0
Jibbs,Chain Hang Low,207.586,True,2006,56,0.792,0.589,4,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,"hip hop, pop",12,1
Arctic Monkeys,When The Sun Goes Down,202.133,True,2006,72,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152,rock,17,1
Beyoncé,Check On It (feat. Slim Thug),211.186,False,2006,45,0.7,0.887,7,-3.887,1,0.218,0.0805,0.0,0.376,0.883,166.104,"pop, R&B",7,0
Keyshia Cole,Love,255.333,False,2005,72,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,"hip hop, pop, R&B",4,1
Lily Allen,Smile,196.893,True,2006,68,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506,pop,0,1
Ne-Yo,Sexy Love,220.853,False,2006,67,0.693,0.516,8,-6.446,1,0.0413,0.297,0.000127,0.0604,0.494,94.02,"pop, R&B",7,1
JoJo,Too Little Too Late,223.68,False,2006,48,0.535,0.823,6,-5.338,0,0.0431,0.0113,3.88e-06,0.146,0.685,83.001,"hip hop, pop, R&B",4,0
Mary J. Blige,One,260.466,False,2005,64,0.344,0.874,0,-3.161,1,0.0777,0.0841,0.0,0.129,0.269,185.888,"pop, R&B",7,1
Bubba Sparxxx,Ms. New Booty,252.653,True,2005,62,0.64,0.62,1,-5.931,1,0.416,0.016,0.0,0.0831,0.609,129.37,"hip hop, pop, country",43,1
Amy Winehouse,You Know I'm No Good,256.946,False,2006,63,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,R&B,13,1
Rascal Flatts,What Hurts The Most,214.106,False,2006,69,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,country,41,1
Red Hot Chili Peppers,Dani California,282.16,False,2006,76,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,rock,17,1
Scissor Sisters,I Don't Feel Like Dancin',288.36,False,2006,63,0.707,0.923,7,-3.409,1,0.0276,0.0195,0.0,0.342,0.845,108.023,"pop, rock, Dance/Electronic",37,1
Ne-Yo,So Sick,207.186,False,2006,75,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,"pop, R&B",7,1
Hinder,Lips Of An Angel,261.053,False,2019,35,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22e-06,0.209,0.238,129.005,"pop, rock, metal",19,0
The Raconteurs,"Steady, As She Goes",215.266,False,2006,56,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,rock,17,1
The Fratellis,Chelsea Dagger,215.306,False,2006,68,0.511,0.815,7,-3.14,1,0.144,0.0491,0.0,0.0826,0.586,154.514,rock,17,1
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231.866,True,2005,42,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,"hip hop, pop, rock",26,0
Panic! At The Disco,I Write Sins Not Tragedies,185.586,False,2005,70,0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961,rock,17,1
James Blunt,Goodbye My Lover,258.653,False,2005,67,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,pop,0,1
Christina Aguilera,Ain't No Other Man,228.906,False,2006,63,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,pop,0,1
Keane,Is It Any Wonder?,186.173,False,2006,59,0.489,0.955,11,-2.771,0,0.0363,3.82e-05,0.000178,0.334,0.816,129.352,pop,0,1
Orson,No Tomorrow,167.493,False,2006,46,0.656,0.624,3,-4.623,0,0.0691,0.0065,0.0,0.278,0.735,124.082,pop,0,0
KT Tunstall,Black Horse And The Cherry Tree,172.373,False,2005,64,0.748,0.786,4,-7.788,0,0.0641,0.328,0.0,0.34,0.917,104.833,"World/Traditional, pop, Folk/Acoustic",40,1
Natasha Bedingfield,Unwritten,259.333,False,2004,2,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,pop,0,0
Razorlight,America,249.76,False,2006,67,0.447,0.568,2,-4.975,1,0.0305,0.295,3.26e-06,0.355,0.149,90.933,"rock, pop",1,1
James Morrison,You Give Me Something,213.173,False,2006,64,0.559,0.688,7,-6.496,1,0.114,0.216,0.0,0.0855,0.578,79.753,"pop, R&B",7,1
Snow Patrol,You're All I Have,273.333,False,2006,35,0.467,0.921,2,-4.554,1,0.045,5.48e-05,0.0566,0.176,0.501,132.013,"World/Traditional, rock, pop",44,0
The Fray,How to Save a Life,262.533,False,2005,79,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,pop,0,1
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151.64,False,2006,61,0.7,0.465,4,-6.815,1,0.358,0.544,0.0,0.606,0.719,108.102,"World/Traditional, pop",45,1
My Chemical Romance,Welcome to the Black Parade,311.106,False,2006,76,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,rock,17,1
Razorlight,In The Morning,222.453,False,2006,59,0.616,0.855,4,-3.495,0,0.042,0.00379,0.000863,0.318,0.686,124.191,"rock, pop",1,1
James Morrison,Wonderful World,210.066,False,2006,49,0.474,0.71,1,-4.606,1,0.029,0.0548,0.0,0.0974,0.591,78.969,"pop, R&B",7,0
Chris Brown,Yo (Excuse Me Miss),229.04,False,2005,69,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,"hip hop, pop, R&B",4,1
The Kooks,Naive,203.506,False,2006,73,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,rock,17,1
Leona Lewis,Bleeding Love,262.466,False,2007,75,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,"pop, R&B",7,1
Rihanna,Umbrella,275.986,False,2008,81,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,"hip hop, pop, R&B",4,1
Britney Spears,Gimme More,251.24,False,2007,79,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,pop,0,1
Fergie,Big Girls Don't Cry (Personal),268.12,False,2006,76,0.708,0.641,7,-4.296,1,0.0335,0.205,0.0,0.0945,0.253,113.082,"pop, R&B",7,1
Plain White T's,Hey There Delilah,232.533,False,2005,78,0.656,0.291,2,-10.572,1,0.0293,0.872,0.0,0.114,0.298,103.971,pop,0,1
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448.573,False,2006,70,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76.0,pop,0,1
Gwen Stefani,The Sweet Escape,246.466,False,2006,71,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,"pop, R&B",7,1
Timbaland,The Way I Are,179.12,False,2007,80,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,"hip hop, pop, R&B",4,1
Nelly Furtado,Say It Right,223.08,False,2006,81,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948,"hip hop, pop, latin",24,1
Ida Corr,Let Me Think About It,151.973,False,2012,43,0.762,0.754,0,-3.425,0,0.046,0.00022,0.0665,0.146,0.715,129.026,set(),23,0
Alex Gaudino,Destination Calabria - Radio Edit,223.111,False,2007,73,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,Dance/Electronic,8,1
September,Cry for You,209.8,False,2007,65,0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,"pop, Dance/Electronic",9,1
Akon,Smack That,212.36,True,2006,58,0.94,0.743,5,-5.166,0,0.0475,0.317,0.0,0.0909,0.932,118.988,pop,0,1
Timbaland,Give It To Me,234.026,True,2007,70,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,"hip hop, pop, R&B",4,1
50 Cent,Ayo Technology,247.946,True,2007,67,0.63,0.782,8,-5.44,0,0.132,0.0828,0.0,0.034,0.418,140.144,"hip hop, pop",12,1
Ciara,Like a Boy,237.053,False,2006,68,0.701,0.724,0,-5.751,0,0.145,0.267,0.0,0.0867,0.425,132.035,"pop, R&B",7,1
Kanye West,Stronger,311.866,True,2007,54,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,hip hop,5,1
Beyoncé,Beautiful Liar,199.853,False,2007,64,0.764,0.751,8,-3.74,1,0.0703,0.00554,0.000237,0.164,0.418,91.977,"pop, R&B",7,1
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,237.173,False,2007,59,0.584,0.681,1,-5.084,0,0.0781,0.495,0.0,0.289,0.821,79.702,"hip hop, pop",12,1
Akon,I Wanna Love You,247.066,True,2006,53,0.865,0.45,0,-9.387,1,0.0417,0.0359,1.28e-06,0.308,0.352,99.989,pop,0,1
Soulja Boy,Crank That (Soulja Boy),221.933,False,2007,74,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,"hip hop, pop",12,1
Fat Joe,Make It Rain,247.413,True,2006,59,0.744,0.697,11,-5.063,0,0.197,0.0106,0.0,0.0842,0.767,149.28,"hip hop, pop",12,1
Rihanna,Shut Up And Drive,212.28,False,2008,69,0.735,0.826,1,-4.902,1,0.0349,0.00101,0.129,0.197,0.74,132.964,"hip hop, pop, R&B",4,1
Lloyd,Get It Shawty,209.533,False,2007,62,0.822,0.905,5,-4.032,0,0.241,0.123,0.0,0.0496,0.674,128.014,"hip hop, pop, R&B",4,1
Kanye West,Can't Tell Me Nothing,271.6,True,2007,47,0.596,0.62,5,-6.133,0,0.039,0.0122,0.0,0.82,0.102,80.029,hip hop,5,0
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152.333,False,2006,17,0.847,0.861,6,-6.632,1,0.0603,0.278,0.029,0.0626,0.724,127.894,set(),23,0
Linkin Park,What I've Done,205.613,False,2007,77,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,"rock, metal",3,1
Keyshia Cole,Last Night,255.706,False,2007,60,0.918,0.857,3,-5.032,0,0.0623,0.166,0.0003,0.0855,0.972,121.006,"hip hop, pop, R&B",4,1
Chris Brown,Kiss Kiss (feat. T-Pain),250.666,False,2007,68,0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,"hip hop, pop, R&B",4,1
Shop Boyz,Party Like A Rock Star,253.4,True,2007,61,0.619,0.709,7,-4.633,1,0.0395,0.00541,0.0,0.507,0.68,144.972,"hip hop, pop",12,1
Finger Eleven,Paralyzer,208.106,False,2007,73,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,"rock, metal",3,1
Justin Timberlake,Summer Love,252.973,False,2006,66,0.606,0.591,0,-7.228,0,0.087,0.0756,0.0,0.328,0.477,95.802,pop,0,1
MiMS,This Is Why I'm Hot,253.706,True,2007,59,0.621,0.6,8,-6.349,1,0.576,0.277,0.0,0.495,0.485,80.021,"hip hop, pop",12,1
Fabolous,Make Me Better,253.573,True,2007,62,0.607,0.599,11,-6.886,1,0.0995,0.33,0.0,0.199,0.562,86.491,"hip hop, pop, R&B",4,1
Seether,Fake It,193.893,True,2007,73,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,"rock, metal",3,1
Arctic Monkeys,Brianstorm,172.866,False,2007,67,0.42,0.974,1,-4.706,1,0.191,8.15e-05,0.00155,0.0871,0.463,165.182,rock,17,1
Fergie,Glamorous,246.6,True,2006,64,0.811,0.757,0,-6.447,1,0.23,0.298,0.0,0.103,0.565,130.993,"pop, R&B",7,1
Linkin Park,Bleed It Out,166.373,True,2007,73,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127,"rock, metal",3,1
My Chemical Romance,Teenagers,161.92,False,2006,80,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,rock,17,1
Calvin Harris,Acceptable in the 80's,333.68,False,2007,57,0.787,0.808,7,-5.454,1,0.0511,0.0143,0.257,0.0466,0.942,127.99,"hip hop, pop, Dance/Electronic",42,1
Sugababes,About You Now,212.4,False,2007,66,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,"pop, R&B",7,1
Avril Lavigne,Girlfriend,216.6,True,2007,75,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,pop,0,1
Ne-Yo,Because Of You,266.84,False,2007,74,0.81,0.538,0,-5.784,0,0.0356,0.528,0.0,0.0951,0.828,109.97,"pop, R&B",7,1
Daughtry,It's Not Over,215.173,False,2016,45,0.45,0.921,10,-3.476,0,0.0538,0.0467,0.0,0.311,0.413,145.959,"pop, rock, metal",19,0
Unk,Walk It Out,173.04,True,2013,48,0.794,0.777,1,-3.696,0,0.0813,0.0982,0.0,0.202,0.706,160.022,"hip hop, pop",12,0
Lloyd,You,273.133,False,2007,70,0.412,0.876,5,-6.008,0,0.47,0.102,0.0,0.297,0.703,130.159,"hip hop, pop, R&B",4,1
Klaxons,Golden Skans,165.12,False,2007,65,0.463,0.836,2,-2.776,0,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,rock,17,1
T-Pain,Bartender (feat. Akon),238.8,True,2007,3,0.675,0.394,8,-8.539,1,0.133,0.0611,0.0,0.214,0.405,104.987,"hip hop, pop, R&B",4,0
Baby Boy Da Prince,The Way I Live - Main Explicit,324.906,True,2006,59,0.88,0.438,0,-7.562,1,0.248,0.0147,0.0,0.0907,0.714,90.02,"hip hop, pop",12,1
Fergie,Fergalicious,292.373,True,2006,63,0.906,0.584,8,-7.72,0,0.316,0.0576,0.0,0.128,0.831,129.055,"pop, R&B",7,1
Omarion,Ice Box,256.426,False,2006,57,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.105,"hip hop, pop, R&B",4,1
Pretty Ricky,On the Hotline - Amended Version,242.586,False,2007,57,0.704,0.854,10,-5.477,0,0.183,0.0185,0.0,0.148,0.688,92.988,"hip hop, pop, R&B",4,1
Nickelback,Rockstar,252.04,False,2005,69,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,"rock, metal",3,1
Fall Out Boy,Thnks fr th Mmrs,203.506,False,2007,76,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,rock,17,1
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),444.333,True,2006,57,0.859,0.681,1,-6.247,1,0.0549,0.34,0.000161,0.213,0.852,121.243,pop,0,1
All Time Low,"Dear Maria, Count Me In",182.826,False,2007,76,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,rock,17,1
Amy Winehouse,Back To Black,241.293,True,2006,76,0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,R&B,13,1
Keyshia Cole,Let It Go,238.36,False,2007,58,0.808,0.721,1,-5.165,1,0.213,0.197,0.0,0.205,0.773,94.955,"hip hop, pop, R&B",4,1
Ciara,Promise,267.413,False,2006,56,0.697,0.629,9,-5.757,1,0.0425,0.409,3.8e-06,0.0819,0.439,123.279,"pop, R&B",7,1
Enrique Iglesias,Do You Know? (The Ping Pong Song),219.533,False,2007,45,0.753,0.759,8,-4.829,1,0.0487,0.0523,0.0,0.0263,0.706,114.999,"pop, latin",14,0
T2,Heartbroken - Edit,178.613,False,2017,59,0.716,0.757,11,-5.438,0,0.0329,0.0258,0.00392,0.16,0.877,139.986,Dance/Electronic,8,1
Robyn,With Every Heartbeat,254.92,False,2005,36,0.477,0.865,4,-4.462,0,0.0395,0.00877,4.52e-05,0.271,0.413,120.872,"pop, Dance/Electronic",9,0
Maroon 5,Makes Me Wonder,211.08,True,2007,62,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,pop,0,1
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212.04,False,2007,68,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935,rock,17,1
Paramore,Misery Business,211.52,False,2007,72,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,"pop, rock",6,1
Hinder,Better Than Me,223.533,False,2019,30,0.451,0.682,2,-5.295,0,0.029,0.205,0.0,0.175,0.254,139.913,"pop, rock, metal",19,0
Huey,"Pop, Lock & Drop It - Video Edit",261.026,False,2006,52,0.723,0.644,11,-6.863,0,0.222,0.00308,0.0,0.352,0.645,144.09,"hip hop, pop",12,1
Foo Fighters,The Pretender,269.373,False,2007,78,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,"rock, metal",3,1
Plies,Shawty (feat. T Pain),255.413,True,2007,61,0.444,0.708,4,-5.926,0,0.126,0.0419,0.0,0.0775,0.26,105.412,"hip hop, pop, R&B",4,1
Kaiser Chiefs,Ruby,204.2,False,2007,67,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85e-06,0.0774,0.448,93.416,rock,17,1
Mark Ronson,Stop Me (feat. Daniel Merriweather),232.946,False,2007,46,0.626,0.906,0,-4.334,1,0.0403,0.00128,8.52e-06,0.137,0.346,118.035,pop,0,0
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),238.266,False,2006,57,0.772,0.59,6,-6.957,1,0.183,0.0917,0.0,0.101,0.743,83.998,"hip hop, pop, R&B",4,1
The Red Jumpsuit Apparatus,Face Down,192.0,False,2006,74,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,pop,0,1
MIKA,Grace Kelly,187.733,False,2006,69,0.675,0.828,0,-5.799,1,0.0454,0.0242,0.0102,0.364,0.669,122.229,pop,0,1
Christina Aguilera,Candyman,194.213,False,2006,66,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,pop,0,1
Sean Kingston,Beautiful Girls,225.373,False,2007,78,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,"hip hop, pop, R&B",4,1
Akon,Don't Matter,293.066,True,2006,52,0.801,0.454,2,-6.035,1,0.0371,0.225,0.0,0.226,0.34,125.139,pop,0,1
James Blunt,1973,280.026,False,2007,68,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,pop,0,1
Carrie Underwood,Before He Cheats,199.946,False,2005,76,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,"pop, country",2,1
Just Jack,Starz In Their Eyes,295.933,False,2006,52,0.67,0.8,3,-6.731,1,0.0652,0.00184,0.000356,0.466,0.656,123.802,Dance/Electronic,8,1
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227.96,False,2007,2,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,"hip hop, pop, R&B",4,0
Bone Thugs-N-Harmony,I Tried,287.48,True,2007,61,0.727,0.71,4,-6.142,1,0.0742,0.0104,0.0,0.107,0.378,81.995,"hip hop, pop",12,1
Avril Lavigne,When You're Gone,240.493,False,2007,68,0.457,0.719,4,-3.921,0,0.0323,0.191,0.0,0.228,0.168,142.034,pop,0,1
Rich Boy,Throw Some D's,263.92,True,2007,57,0.697,0.86,11,-5.181,1,0.43,0.0368,0.0,0.0721,0.433,160.895,"hip hop, pop",12,1
MIKA,Love Today,235.173,False,2006,57,0.673,0.913,4,-4.981,1,0.0664,0.0304,0.00298,0.113,0.587,124.484,pop,0,1
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),235.693,False,2007,53,0.344,0.921,2,-3.049,1,0.0459,0.00143,1.13e-05,0.38,0.396,126.766,"rock, pop",1,1
Elliott Yamin,Wait for You,261.32,False,2007,58,0.764,0.487,0,-6.734,1,0.0281,0.25,0.0,0.184,0.352,116.027,set(),23,1
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",241.133,False,2007,56,0.733,0.744,1,-3.51,1,0.0553,0.0772,0.0,0.341,0.529,92.515,set(),23,1
Boys Like Girls,The Great Escape,206.52,False,2007,62,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,pop,0,1
Take That,Rule The World - Radio Edit,237.76,False,2007,58,0.357,0.774,2,-4.226,1,0.034,0.0376,0.0,0.348,0.348,164.054,pop,0,1
J. Holiday,Bed,275.106,False,2007,64,0.684,0.606,5,-7.268,0,0.0504,0.17,0.0,0.058,0.723,127.901,"hip hop, pop, R&B, Dance/Electronic",46,1
Red Hot Chili Peppers,Snow (Hey Oh),334.666,False,2006,79,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,rock,17,1
Ludacris,Runaway Love,280.68,True,2006,51,0.405,0.721,1,-6.97,1,0.283,0.329,0.0,0.252,0.815,92.854,"hip hop, pop",12,1
Flo Rida,Low (feat. T-Pain),231.4,False,2008,80,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,"hip hop, pop",12,1
Katy Perry,I Kissed A Girl,179.64,False,2008,73,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,pop,0,1
Rihanna,Take A Bow,229.413,False,2008,74,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.082,"hip hop, pop, R&B",4,1
Alicia Keys,No One,253.813,False,2007,77,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,"pop, R&B",7,1
Timbaland,Apologize,184.4,False,2007,74,0.653,0.604,8,-6.017,1,0.0278,0.0292,0.0,0.097,0.101,118.016,"hip hop, pop, R&B",4,1
Ne-Yo,Miss Independent,232.0,False,2008,71,0.668,0.673,1,-5.714,1,0.145,0.48,0.0,0.194,0.727,171.812,"pop, R&B",7,1
Chris Brown,With You,252.12,False,2007,70,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,"hip hop, pop, R&B",4,1
Beyoncé,If I Were a Boy,249.146,False,2008,66,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,"pop, R&B",7,1
Kardinal Offishall,Dangerous,246.053,True,2008,75,0.949,0.79,8,-5.957,1,0.0756,0.00437,0.0,0.0816,0.807,117.002,"hip hop, pop, R&B",4,1
Madcon,Beggin (original version),216.146,False,2007,70,0.715,0.8,4,-5.144,0,0.057,0.0271,0.0,0.0648,0.445,129.023,"hip hop, pop",12,1
Rihanna,Disturbia,238.626,False,2008,76,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,"hip hop, pop, R&B",4,1
Guru Josh Project,Infinity 2008,190.013,False,2011,1,0.493,0.849,7,-6.139,0,0.0576,0.000337,0.00672,0.355,0.483,127.999,hip hop,5,0
Britney Spears,Break the Ice,196.053,False,2007,61,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02e-06,0.107,0.85,117.533,pop,0,1
Lil Wayne,Lollipop,299.333,True,2008,69,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,"hip hop, pop",12,1
Basshunter,Now You're Gone - Video Edit,148.186,False,2008,63,0.639,0.976,1,-5.503,1,0.354,0.0213,0.0,0.0856,0.354,147.99,pop,0,1
Kanye West,Flashing Lights,237.506,True,2007,52,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,hip hop,5,1
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),189.693,False,2009,71,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,pop,0,1
Katy Perry,Hot N Cold,220.226,False,2008,73,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,pop,0,1
